model_profile,model_quantization,case_id,query_id,correlation_id,fault_mode,expected_outcome,observed_outcome,expected_owner,observed_owner,boundary_reason,recovery_action,duration_ms,ordered_evidence_ids,assertions_passed,assertions_total,failed_assertions,terminal_schema_valid,synthesis_schema_status,semantic_strictness_status,evidence_input_tokens,output_tokens,raw_run_path,raw_stream_path,raw_span_path,raw_assertion_path
qwen2.5:0.5b,Q4_K_M,Q01-exact-cooldown,0198f4d0-0001-7000-8000-000000000001,0198f4d0-1001-7000-8000-000000000001,none,supported,synthesis_unavailable,none,synthesis,synthesis_timeout,open_raw_evidence,33426.085,E001;E002;E003,9,14,outcome;failure_owner;required_finding_values_present;boundary_reason;recovery_action,1,not_observed,not_evaluated,,,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/streams.json,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/correlated-spans.json,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q02-win-rate-cause,0198f4d0-0002-7000-8000-000000000002,0198f4d0-1002-7000-8000-000000000002,none,weak_support,weak_support,none,none,strict_support_predicate_failed,refine_query,16954.586,E002,14,14,,1,not_applicable,not_applicable,,,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/streams.json,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/correlated-spans.json,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q03-incident-root-cause,0198f4d0-0003-7000-8000-000000000003,0198f4d0-1003-7000-8000-000000000003,none,supported,synthesis_unavailable,none,synthesis,synthesis_timeout,open_raw_evidence,23918.206,E004;E006;E005,9,14,outcome;failure_owner;required_finding_values_present;boundary_reason;recovery_action,1,not_observed,not_evaluated,,,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/streams.json,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/correlated-spans.json,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q04-no-hits,0198f4d0-0004-7000-8000-000000000004,0198f4d0-1004-7000-8000-000000000004,none,no_hits,no_hits,none,none,no_indexed_match,broaden_scope,9613.763,,14,14,,1,not_applicable,not_applicable,,,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/streams.json,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/correlated-spans.json,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q05-retrieval-unavailable,0198f4d0-0005-7000-8000-000000000005,0198f4d0-1005-7000-8000-000000000005,retrieval_503,retrieval_unavailable,retrieval_unavailable,retrieval,retrieval,retrieval_503,retry_retrieval,0.695,,14,14,,1,not_applicable,not_applicable,,,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/streams.json,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/correlated-spans.json,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q06-synthesis-unavailable,0198f4d0-0006-7000-8000-000000000006,0198f4d0-1006-7000-8000-000000000006,synthesis_503,synthesis_unavailable,synthesis_unavailable,synthesis,synthesis,synthesis_503,open_raw_evidence,9621.624,E001;E002;E003,14,14,,1,not_applicable,not_applicable,,,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/streams.json,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/correlated-spans.json,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q07-newest-playtest,0198f4d0-0007-7000-8000-000000000007,0198f4d0-1007-7000-8000-000000000007,none,stale_index,stale_index,retrieval,retrieval,requested_coverage_exceeds_snapshot,refresh_archive,15950.022,E001;E003;E002,14,14,,1,not_applicable,not_applicable,,,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/streams.json,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/correlated-spans.json,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q08-log-injection,0198f4d0-0008-7000-8000-000000000008,0198f4d0-1008-7000-8000-000000000008,none,weak_support,weak_support,none,none,strict_support_predicate_failed,refine_query,13242.727,E009,14,14,,1,not_applicable,not_applicable,,,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/streams.json,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/correlated-spans.json,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q09-ambiguous-entity,0198f4d0-0009-7000-8000-000000000009,0198f4d0-1009-7000-8000-000000000009,none,weak_support,weak_support,none,none,strict_support_predicate_failed,refine_query,8903.669,E002;E001;E003,14,14,,1,not_applicable,not_applicable,,,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/streams.json,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/correlated-spans.json,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q10-genkit-canary,0198f4d0-0010-7000-8000-000000000010,0198f4d0-1010-7000-8000-000000000010,retrieval_503,retrieval_unavailable,retrieval_unavailable,retrieval,retrieval,retrieval_503,retry_retrieval,0.343,,14,14,,1,not_applicable,not_applicable,,,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/streams.json,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/correlated-spans.json,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:1.5b,Q4_K_M,Q01-exact-cooldown,0198f4d0-0001-7000-8000-000000000001,0198f4d0-1001-7000-8000-000000000001,none,supported,synthesis_unavailable,none,synthesis,synthesis_timeout,open_raw_evidence,26753.679,E001;E002;E003,9,14,outcome;failure_owner;required_finding_values_present;boundary_reason;recovery_action,1,not_observed,not_evaluated,,,_workspace/current/qa/evidence/stage-1/fixture-run-qwen1_5b,_workspace/current/qa/evidence/stage-1/fixture-run-qwen1_5b/streams.json,_workspace/current/qa/evidence/stage-1/fixture-run-qwen1_5b/correlated-spans.json,_workspace/current/qa/evidence/stage-1/fixture-run-qwen1_5b/results.json
qwen2.5:1.5b,Q4_K_M,Q02-win-rate-cause,0198f4d0-0002-7000-8000-000000000002,0198f4d0-1002-7000-8000-000000000002,none,weak_support,weak_support,none,none,strict_support_predicate_failed,refine_query,8438.962,E002,14,14,,1,not_applicable,not_applicable,,,_workspace/current/qa/evidence/stage-1/fixture-run-qwen1_5b,_workspace/current/qa/evidence/stage-1/fixture-run-qwen1_5b/streams.json,_workspace/current/qa/evidence/stage-1/fixture-run-qwen1_5b/correlated-spans.json,_workspace/current/qa/evidence/stage-1/fixture-run-qwen1_5b/results.json
qwen2.5:1.5b,Q4_K_M,Q03-incident-root-cause,0198f4d0-0003-7000-8000-000000000003,0198f4d0-1003-7000-8000-000000000003,none,supported,synthesis_unavailable,none,synthesis,synthesis_timeout,open_raw_evidence,11694.598,E004;E006;E005,9,14,outcome;failure_owner;required_finding_values_present;boundary_reason;recovery_action,1,not_observed,not_evaluated,,,_workspace/current/qa/evidence/stage-1/fixture-run-qwen1_5b,_workspace/current/qa/evidence/stage-1/fixture-run-qwen1_5b/streams.json,_workspace/current/qa/evidence/stage-1/fixture-run-qwen1_5b/correlated-spans.json,_workspace/current/qa/evidence/stage-1/fixture-run-qwen1_5b/results.json
