model_profile,model_quantization,case_id,assertion,expected_json,observed_json,passed,raw_path
qwen2.5:0.5b,Q4_K_M,Q01-exact-cooldown,outcome,"""supported""","""synthesis_unavailable""",0,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q01-exact-cooldown,failure_owner,"""none""","""synthesis""",0,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q01-exact-cooldown,query_id_preserved,"""0198f4d0-0001-7000-8000-000000000001""","""0198f4d0-0001-7000-8000-000000000001""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q01-exact-cooldown,correlation_id_preserved,"""0198f4d0-1001-7000-8000-000000000001""","""0198f4d0-1001-7000-8000-000000000001""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q01-exact-cooldown,minimum_evidence_count,2,3,1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q01-exact-cooldown,required_top_five,"[""E001"",""E003""]","[""E001"",""E002"",""E003""]",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q01-exact-cooldown,expected_rank_one,"""E001""","""E001""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q01-exact-cooldown,forbidden_values_absent,[],[],1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q01-exact-cooldown,required_finding_values_present,"[""8"",""10"",""disengage""]",[],0,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q01-exact-cooldown,scope_preserved,"{""entity_ids"":[""P42"",""Scout""],""index_snapshot_id"":""sim-index-v1"",""project_ids"":[""Alpha""],""source_ids"":[],""time_from"":null,""time_to"":""2026-08-08T12:00:00Z""}","{""entity_ids"":[""P42"",""Scout""],""index_snapshot_id"":""sim-index-v1"",""project_ids"":[""Alpha""],""source_ids"":[],""time_from"":null,""time_to"":""2026-08-08T12:00:00Z""}",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q01-exact-cooldown,scope_delta_preserved,"{""changed"":false,""entity_added"":[],""entity_removed"":[],""sources_added"":[],""sources_removed"":[],""time_from_after"":null,""time_from_before"":null,""time_from_changed"":false,""time_to_after"":""2026-08-08T12:00:00Z"",""time_to_before"":""2026-08-08T12:00:00Z"",""time_to_changed"":false}","{""changed"":false,""entity_added"":[],""entity_removed"":[],""sources_added"":[],""sources_removed"":[],""time_from_after"":null,""time_from_before"":null,""time_from_changed"":false,""time_to_after"":""2026-08-08T12:00:00Z"",""time_to_before"":""2026-08-08T12:00:00Z"",""time_to_changed"":false}",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q01-exact-cooldown,index_snapshot_preserved,"""sim-index-v1""","""sim-index-v1""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q01-exact-cooldown,boundary_reason,null,"""synthesis_timeout""",0,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q01-exact-cooldown,recovery_action,"""inspect_claim_traces""","""open_raw_evidence""",0,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q02-win-rate-cause,outcome,"""weak_support""","""weak_support""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q02-win-rate-cause,failure_owner,"""none""","""none""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q02-win-rate-cause,query_id_preserved,"""0198f4d0-0002-7000-8000-000000000002""","""0198f4d0-0002-7000-8000-000000000002""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q02-win-rate-cause,correlation_id_preserved,"""0198f4d0-1002-7000-8000-000000000002""","""0198f4d0-1002-7000-8000-000000000002""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q02-win-rate-cause,minimum_evidence_count,1,1,1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q02-win-rate-cause,required_top_five,"[""E002""]","[""E002""]",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q02-win-rate-cause,expected_rank_one,"""E002""","""E002""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q02-win-rate-cause,forbidden_values_absent,[],[],1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q02-win-rate-cause,required_finding_values_present,[],[],1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
