model_profile,case_id,required_top_five,ordered_top_five,recall_at_5_numerator,recall_at_5_denominator,expected_rank_one,exact_id_rank,reciprocal_rank,index_snapshot_id,raw_stream_path
qwen2.5:0.5b,Q01-exact-cooldown,E001;E003,E001;E002;E003,2,2,E001,1,1.000000,sim-index-v1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/streams.json
qwen2.5:0.5b,Q02-win-rate-cause,E002,E002,1,1,E002,1,1.000000,sim-index-v1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/streams.json
qwen2.5:0.5b,Q03-incident-root-cause,E004;E005;E006,E004;E006;E005,3,3,,,,sim-index-v1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/streams.json
qwen2.5:0.5b,Q04-no-hits,,,0,0,,,,sim-index-v1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/streams.json
qwen2.5:0.5b,Q05-retrieval-unavailable,,,0,0,,,,sim-index-v1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/streams.json
qwen2.5:0.5b,Q06-synthesis-unavailable,E001;E003,E001;E002;E003,2,2,E001,1,1.000000,sim-index-v1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/streams.json
qwen2.5:0.5b,Q07-newest-playtest,,E001;E003;E002,0,0,,,,sim-index-v1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/streams.json
qwen2.5:0.5b,Q08-log-injection,E009,E009,1,1,E009,1,1.000000,sim-index-v1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/streams.json
qwen2.5:0.5b,Q09-ambiguous-entity,,E002;E001;E003,0,0,,,,sim-index-v1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/streams.json
qwen2.5:0.5b,Q10-genkit-canary,,,0,0,,,,sim-index-v1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/streams.json
qwen2.5:1.5b,Q01-exact-cooldown,E001;E003,E001;E002;E003,2,2,E001,1,1.000000,sim-index-v1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen1_5b/streams.json
qwen2.5:1.5b,Q02-win-rate-cause,E002,E002,1,1,E002,1,1.000000,sim-index-v1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen1_5b/streams.json
qwen2.5:1.5b,Q03-incident-root-cause,E004;E005;E006,E004;E006;E005,3,3,,,,sim-index-v1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen1_5b/streams.json
qwen2.5:1.5b,Q04-no-hits,,,0,0,,,,sim-index-v1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen1_5b/streams.json
qwen2.5:1.5b,Q05-retrieval-unavailable,,,0,0,,,,sim-index-v1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen1_5b/streams.json
qwen2.5:1.5b,Q06-synthesis-unavailable,E001;E003,E001;E002;E003,2,2,E001,1,1.000000,sim-index-v1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen1_5b/streams.json
qwen2.5:1.5b,Q07-newest-playtest,,E001;E003;E002,0,0,,,,sim-index-v1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen1_5b/streams.json
qwen2.5:1.5b,Q08-log-injection,E009,E009,1,1,E009,1,1.000000,sim-index-v1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen1_5b/streams.json
qwen2.5:1.5b,Q09-ambiguous-entity,,E002;E001;E003,0,0,,,,sim-index-v1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen1_5b/streams.json
qwen2.5:1.5b,Q10-genkit-canary,,,0,0,,,,sim-index-v1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen1_5b/streams.json
qwen2.5:3b,Q01-exact-cooldown,E001;E003,E001;E002;E003,2,2,E001,1,1.000000,sim-index-v1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen3b/streams.json
qwen2.5:3b,Q02-win-rate-cause,E002,E002,1,1,E002,1,1.000000,sim-index-v1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen3b/streams.json
qwen2.5:3b,Q03-incident-root-cause,E004;E005;E006,E004;E006;E005,3,3,,,,sim-index-v1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen3b/streams.json
qwen2.5:3b,Q04-no-hits,,,0,0,,,,sim-index-v1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen3b/streams.json
qwen2.5:3b,Q05-retrieval-unavailable,,,0,0,,,,sim-index-v1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen3b/streams.json
qwen2.5:3b,Q06-synthesis-unavailable,E001;E003,E001;E002;E003,2,2,E001,1,1.000000,sim-index-v1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen3b/streams.json
qwen2.5:3b,Q07-newest-playtest,,E001;E003;E002,0,0,,,,sim-index-v1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen3b/streams.json
qwen2.5:3b,Q08-log-injection,E009,E009,1,1,E009,1,1.000000,sim-index-v1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen3b/streams.json
qwen2.5:3b,Q09-ambiguous-entity,,E002;E001;E003,0,0,,,,sim-index-v1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen3b/streams.json
qwen2.5:3b,Q10-genkit-canary,,,0,0,,,,sim-index-v1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen3b/streams.json
